Daynum,Year,Deaths,Cumdeaths,Excess,Cumexcess
1,2020,322,322,-6.300000000000011,-6.300000000000011
2,2020,323,645,-15.0,-21.30000000000001
3,2020,348,993,2.5,-18.80000000000001
4,2020,320,1313,-12.100000000000023,-30.900000000000034
5,2020,299,1612,-29.80000000000001,-60.700000000000045
6,2020,366,1978,44.80000000000001,-15.900000000000034
7,2020,322,2300,-20.600000000000023,-36.50000000000006
8,2020,379,2679,39.80000000000001,3.2999999999999545
9,2020,380,3059,55.10000000000002,58.39999999999998
10,2020,323,3382,-15.100000000000023,43.299999999999955
11,2020,318,3700,-14.600000000000023,28.699999999999932
12,2020,292,3992,-53.0,-24.300000000000068
13,2020,321,4313,-19.80000000000001,-44.10000000000008
14,2020,342,4655,3.8999999999999773,-40.2000000000001
15,2020,322,4977,-8.300000000000011,-48.500000000000114
16,2020,346,5323,15.300000000000011,-33.2000000000001
17,2020,334,5657,14.600000000000023,-18.60000000000008
18,2020,329,5986,-1.6999999999999886,-20.300000000000068
19,2020,309,6295,-24.399999999999977,-44.700000000000045
20,2020,311,6606,-18.899999999999977,-63.60000000000002
21,2020,317,6923,-22.100000000000023,-85.70000000000005
22,2020,323,7246,-10.0,-95.70000000000005
23,2020,322,7568,-15.600000000000023,-111.30000000000007
24,2020,336,7904,5.600000000000023,-105.70000000000005
25,2020,260,8164,-78.5,-184.20000000000005
26,2020,322,8486,-1.3999999999999773,-185.60000000000002
27,2020,313,8799,-10.399999999999977,-196.0
28,2020,328,9127,-7.399999999999977,-203.39999999999998
29,2020,328,9455,-16.399999999999977,-219.79999999999995
30,2020,328,9783,-14.100000000000023,-233.89999999999998
31,2020,391,10174,43.10000000000002,-190.79999999999995
32,2020,336,10510,-13.5,-204.29999999999995
33,2020,330,10840,-10.100000000000023,-214.39999999999998
34,2020,317,11157,-32.0,-246.39999999999998
35,2020,314,11471,-26.30000000000001,-272.7
36,2020,330,11801,-12.199999999999989,-284.9
37,2020,291,12092,-51.89999999999998,-336.79999999999995
38,2020,301,12393,-44.30000000000001,-381.09999999999997
39,2020,318,12711,-20.899999999999977,-401.99999999999994
40,2020,290,13001,-58.89999999999998,-460.8999999999999
41,2020,336,13337,-3.6000000000000227,-464.49999999999994
42,2020,325,13662,-20.600000000000023,-485.09999999999997
43,2020,319,13981,-12.699999999999989,-497.79999999999995
44,2020,332,14313,-23.69999999999999,-521.5
45,2020,349,14662,6.300000000000011,-515.2
46,2020,342,15004,-7.600000000000023,-522.8000000000001
47,2020,295,15299,-51.5,-574.3000000000001
48,2020,284,15583,-59.80000000000001,-634.1000000000001
49,2020,326,15909,-19.100000000000023,-653.2000000000002
50,2020,363,16272,28.5,-624.7000000000002
51,2020,342,16614,-1.5,-626.2000000000002
52,2020,333,16947,-1.0,-627.2000000000002
53,2020,332,17279,-18.100000000000023,-645.3000000000002
54,2020,309,17588,-40.30000000000001,-685.6000000000001
55,2020,321,17909,-17.30000000000001,-702.9000000000001
56,2020,348,18257,-14.699999999999989,-717.6000000000001
57,2020,335,18592,-0.8000000000000114,-718.4000000000001
58,2020,317,18909,-32.60000000000002,-751.0000000000001
59,2020,306,19215,-43.30000000000001,-794.3000000000002
60,2020,304,19519,-49.42593431895068,-843.7259343189509
61,2020,300,19819,-49.69999999999999,-893.4259343189508
62,2020,349,20168,15.699999999999989,-877.7259343189507
63,2020,303,20471,-29.30000000000001,-907.0259343189507
64,2020,337,20808,4.300000000000011,-902.7259343189507
65,2020,321,21129,-19.899999999999977,-922.6259343189507
66,2020,311,21440,-35.10000000000002,-957.7259343189507
67,2020,284,21724,-67.0,-1024.7259343189507
68,2020,299,22023,-38.69999999999999,-1063.4259343189508
69,2020,283,22306,-54.10000000000002,-1117.525934318951
70,2020,342,22648,5.600000000000023,-1111.925934318951
71,2020,339,22987,11.300000000000011,-1100.625934318951
72,2020,312,23299,-17.80000000000001,-1118.425934318951
73,2020,325,23624,-2.3000000000000114,-1120.725934318951
74,2020,328,23952,2.1000000000000227,-1118.6259343189508
75,2020,288,24240,-45.10000000000002,-1163.7259343189507
76,2020,347,24587,17.100000000000023,-1146.6259343189508
77,2020,319,24906,-12.0,-1158.6259343189508
78,2020,362,25268,50.0,-1108.6259343189508
79,2020,355,25623,38.30000000000001,-1070.3259343189509
80,2020,394,26017,74.60000000000002,-995.7259343189509
81,2020,391,26408,63.0,-932.7259343189509
82,2020,377,26785,55.19999999999999,-877.5259343189509
